Time_Start,Day_Of_Year,Latitude,Longitude,GPS_Altitude,Pressure_Altitude,Ground_Speed,True_Air_Speed,Mach_Number,Vertical_Speed,True_Heading,Track_Angle,Drift_Angle,Pitch_Angle,Roll_Angle,Static_Air_Temp,Potential_Temp,Total_Air_Temp,Static_Pressure,Cabin_Pressure,Wind_Speed,Wind_Direction,Solar_Zenith_Angle,Aircraft_Sun_Elevation,Sun_Azimuth,Aircraft_Sun_Azimuth
68352,36,32.0094363,-81.1288059,4,15,0,20.8,0.031,0,271.46,271.5,0,5.16,-0.17,28.2,300.3,28.2,1012.7,996.3,10.7,271.5,51.6,36.3,-155.3,-62.8
68353,36,32.0094363,-81.1288057,4,15,0.1,20.8,0.031,0,271.46,271.5,0,5.16,-0.18,28.1,300.2,28.2,1012.7,998.8,10.6,271.5,51.6,36.3,-155.3,-62.8
68354,36,32.0094362,-81.128803,4,15,0.5,20.8,0.031,0,271.46,271.5,0,5.21,-0.18,28.7,300.8,28.8,1012.7,1003,10.2,271.5,51.6,36.2,-155.3,-62.8
68355,36,32.0094362,-81.1287921,4,15,1.7,20.99,0.031,0,271.43,271.4,0,5.27,-0.2,29,301.1,29.1,1012.7,1001.6,9.1,271.4,51.6,36.2,-155.3,-62.7
68356,36,32.0094363,-81.128764,4,15,3.8,20.99,0.031,0,271.47,271.5,0,5.25,-0.24,31.3,303.4,31.3,1012.7,1013.5,7,271.5,51.6,36.3,-155.3,-62.7
68357,36,32.0094369,-81.129049,4,15,7.4,21.19,0.031,0,271.73,271.7,0,5.12,-0.19,35.3,307.3,35.4,1012.6,1010.8,3.5,271.8,51.6,36.3,-155.3,-63.1
68358,36,32.0094386,-81.1289483,4.1,15,11.6,21.19,0.031,0,272.41,272.4,0,5.03,-0.36,37.6,309.6,37.7,1012.7,1006.3,0.7,92.2,51.6,36.6,-155.3,-63.7
68359,36,32.0094423,-81.129145,4.2,15,16,25.08,0.037,0,272.65,272.7,0,4.98,-0.24,38.4,310.4,38.5,1012.7,1005.6,3.1,92.9,51.6,36.5,-155.3,-64
68360,36,32.0094481,-81.1292946,4.2,15,20.5,38.1,0.055,0,272.86,272.9,0,5,0.28,37.7,309.7,37.9,1012.7,1005.4,0.9,93.8,51.6,36,-155.3,-64.4
68361,36,32.0094555,-81.1297404,4.3,12,25,42.76,0.063,0,272.85,272.8,0,4.97,0.02,34.9,306.9,35.1,1012.8,1006.9,3,92.4,51.6,36.3,-155.3,-64.3
68362,36,32.009464,-81.1297953,4.5,15,29.5,52.48,0.077,0,272.45,271.9,-0.6,4.94,-0.42,32.3,304.3,32.7,1012.7,1006,2.5,86,51.6,36.7,-155.3,-63.8
68363,36,32.0094731,-81.1301462,4.6,12,34,65.12,0.096,0.1,272.95,272,-1,4.98,0.02,30.5,302.5,31.1,1012.8,1005.5,0.8,44.3,51.6,36.3,-155.3,-64.4
68364,36,32.009485,-81.1304501,4.8,10,38.3,70.37,0.104,0.1,272.89,272.2,-0.7,4.91,0.69,28.5,300.5,29.2,1012.9,1005.8,2.1,80.5,51.6,35.7,-155.3,-64.7
68365,36,32.0094987,-81.131051,5.1,7,42.7,78.92,0.117,0.1,272.54,272.1,-0.4,4.83,0.16,27.5,299.5,28.3,1012.9,1005.9,2.1,83.7,51.6,36.2,-155.3,-64.2
68366,36,32.0095137,-81.1316064,5.3,5,46.9,86.7,0.129,0.1,272.4,272.1,-0.3,5.15,0.31,26.2,298.2,27.2,1013,1004.9,2.3,86.3,51.6,35.9,-155.3,-63.9
68367,36,32.00953,-81.1321176,5.7,5,51.1,94.47,0.14,0.3,272.08,272.1,0,7.37,0.51,26.6,298.6,27.7,1013.1,1005.1,2.5,92.5,51.6,34.7,-155.2,-62.3
68368,36,32.0095494,-81.1325863,6.4,7,54.8,100.11,0.149,0.8,271.59,272.3,0.6,8.99,0.1,26.9,298.9,28.2,1013,1005,3.4,103.2,51.6,34.2,-155.2,-60.6
