Time_Start,Day_Of_Year,Latitude,Longitude,GPS_Altitude,Pressure_Altitude,Ground_Speed,True_Air_Speed,Mach_Number,Vertical_Speed,True_Heading,Track_Angle,Drift_Angle,Pitch_Angle,Roll_Angle,Static_Air_Temp,Potential_Temp,Total_Air_Temp,Static_Pressure,Cabin_Pressure,Wind_Speed,Wind_Direction,Solar_Zenith_Angle,Aircraft_Sun_Elevation,Sun_Azimuth,Aircraft_Sun_Azimuth
55444,62,32.0095415,-81.1288273,10.1,-200,0.1,22.74,0.033,0,274.28,274.3,0,4.96,-0.31,48.9,320.2,49,1020.6,1013.1,11.6,274.3,50.3,43.8,134.7,-136.5
55445,62,32.0095412,-81.1288284,10.1,-200,0.1,22.74,0.033,0,274.28,274.3,0,4.98,-0.31,48.3,319.6,48.4,1020.6,1013.7,11.6,274.3,50.2,43.8,134.7,-136.5
55446,62,32.0095411,-81.1288277,10.1,-200,0.3,22.74,0.033,0,274.3,274.3,0,5,-0.36,48.3,319.6,48.4,1020.6,1014.5,11.4,274.3,50.2,43.9,134.7,-136.5
55447,62,32.0095413,-81.1288196,10.1,-200,1.4,22.94,0.033,0,274.39,274.4,0,5.01,-0.32,55.3,326.5,55.4,1020.6,1020.1,10.4,274.4,50.2,43.9,134.7,-136.6
55448,62,32.0095424,-81.128795,10.1,-200,3.5,22.94,0.033,0,274.38,274.4,0,4.99,-0.37,54.7,325.9,54.7,1020.6,1026.2,8.3,274.4,50.2,43.9,134.7,-136.6
55449,62,32.0095447,-81.1287409,10.1,-197,6.9,22.94,0.033,0,273.6,273.6,0,5,-0.34,54.7,326,54.8,1020.5,1036.8,4.9,273.6,50.2,43.8,134.7,-135.7
55450,62,32.009547,-81.128984,10.1,-197,11.3,22.94,0.032,0,272.82,272.8,0,4.94,-0.32,58.2,329.4,58.2,1020.5,1032.4,0.5,273.3,50.2,43.7,134.7,-134.9
55451,62,32.0095511,-81.129184,10.1,-200,15.8,32.66,0.045,0,273,273,0,4.86,-0.28,70,341.2,70.1,1020.6,1023.3,1,273,50.2,43.7,134.7,-135.2
55452,62,32.0095575,-81.1293362,10.2,-200,20.3,41.79,0.058,0,272.98,273,0,4.84,-0.66,70,341.2,70.2,1020.6,1019.8,1.2,272.6,50.2,43.9,134.7,-135.4
55453,62,32.0095645,-81.1294402,10.3,-200,24.9,54.04,0.075,0,272.37,272.4,0,4.99,-1.12,70,341.2,70.4,1020.6,1018.6,2.9,272.1,50.2,44.3,134.7,-134.9
