Time_Start,Day_Of_Year,Latitude,Longitude,GPS_Altitude,Pressure_Altitude,Radar_Altitude,Ground_Speed,True_Air_Speed,Indicated_Air_Speed,Mach_Number,Vertical_Speed,True_Heading,Track_Angle,Drift_Angle,Pitch_Angle,Roll_Angle,Static_Air_Temp,Potential_Temp,Dew_Point,Total_Air_Temp,IR_Surf_Temp,Static_Pressure,Cabin_Pressure,Wind_Speed,Wind_Direction,U,V,Solar_Zenith_Angle,Aircraft_Sun_Elevation,Sun_Azimuth,Aircraft_Sun_Azimuth,Mixing_Ratio,Part_Press_Water_Vapor,Sat_Vapor_Press_H2O,Sat_Vapor_Press_Ice,Relative_Humidity
66328,12,37.9274718,-75.4706121,12,-192,1.1,0.01,0,0,0,0,31.66,45,13.3,-1.28,0.6,19.51,290.98,10.87,19.55,-9999,1020.3,1026.4,-9999,-9999,-9999,-9999,62.1,26.5,-160.4,168.4,8.12,13.14,22.9,27.65,57.4
66329,12,37.9274724,-75.4706121,12,-186,2,0.02,0,0,0,0,31.68,190.01,158.3,-1.42,0.59,19.47,290.96,10.86,19.55,-9999,1020.08,1026.3,-9999,-9999,-9999,-9999,62.1,26.5,-160.4,168.4,8.11,13.14,22.85,27.58,57.48
66330,12,37.9274724,-75.4706121,12,-190,0.8,0.11,0,0,0,0,31.62,46.45,14.8,-1.51,0.56,19.51,290.99,10.86,19.55,-9999,1020.23,1026.2,-9999,-9999,-9999,-9999,62.1,26.4,-160.4,168.4,8.11,13.14,22.91,27.67,57.33
66331,12,37.927477,-75.4706081,13,-191,0.8,1.36,0,0,0,0,31.36,31.23,-0.1,-1.47,0.54,19.51,290.98,10.86,19.55,-9999,1020.26,1026.4,-9999,-9999,-9999,-9999,62.1,26.4,-160.4,168.8,8.11,13.14,22.9,27.65,57.36
66332,12,37.9274976,-75.4705932,13,-182,1.7,4.01,0,0,0,-0.1,32.28,31.75,-0.5,-1.39,0.58,19.54,291.04,10.85,19.55,-9999,1019.93,1026.5,-9999,-9999,-9999,-9999,62.1,26.3,-160.4,168.2,8.11,13.13,22.95,27.72,57.2
66333,12,37.9275388,-75.4705594,13,-168,0.6,6.94,0,30.8,0,0.1,32.63,33.37,0.7,-1.35,0.66,19.5,291.04,10.87,19.5,-9999,1019.42,1026.9,-9999,-9999,-9999,-9999,62.1,26.3,-160.4,167.4,8.12,13.14,22.88,27.63,57.44
66334,12,37.9276024,-75.4705073,13,-214,0.5,9.85,0,0,0,0.1,32.44,33.39,1,-1.4,0.55,19.4,290.8,10.96,19.5,-9999,1021.11,1027.2,-9999,-9999,-9999,-9999,62.1,26.5,-160.4,167.6,8.16,13.22,22.74,27.43,58.14
66335,12,37.9276872,-75.4704362,13,-191,0.9,12.79,0,0,0,0,32.1,33.17,1.1,-1.38,0.62,19.36,290.84,11.09,19.4,-9999,1020.26,1027.3,-9999,-9999,-9999,-9999,62.1,26.5,-160.4,168,8.24,13.34,22.7,27.37,58.77
66336,12,37.927795,-75.4703474,13,-211,1.1,15.71,0,30.4,0,0,31.56,32.65,1.1,-1.58,0.65,19.21,290.62,11.09,19.35,-9999,1021,1027.6,-9999,-9999,-9999,-9999,62.1,26.4,-160.4,168.4,8.23,13.34,22.47,27.06,59.35
66337,12,37.9279262,-75.4702437,13,-206,1.2,18.56,0,36.1,0,0,31.01,31.68,0.7,-1.61,0.57,19.15,290.58,11.1,19.25,-9999,1020.82,1027.6,-9999,-9999,-9999,-9999,62.1,26.4,-160.4,169,8.24,13.35,22.4,26.96,59.59
66338,12,37.9280791,-75.4701251,13,-207,0.6,21.38,0,40.5,0,0,31.19,31.49,0.3,-1.68,0.4,18.99,290.42,11.1,19.25,-9999,1020.85,1027.6,-9999,-9999,-9999,-9999,62.1,26.2,-160.4,169,8.24,13.35,22.18,26.65,60.19
66339,12,37.9282539,-75.4699893,13,-193,0.9,24.17,0,42.6,0,0,31.33,31.62,0.3,-2.1,0.24,18.89,290.37,11.05,19.2,-9999,1020.34,1027.4,-9999,-9999,-9999,-9999,62.1,26.2,-160.4,168.8,8.22,13.3,22.04,26.46,60.36
66340,12,37.9284498,-75.4698369,13,-201,0.8,26.89,0,53.8,0,0.2,31.71,31.85,0.1,-1.74,0.48,18.88,290.33,11.02,19.2,-9999,1020.63,1027.7,-9999,-9999,-9999,-9999,62.1,25.6,-160.4,168.5,8.2,13.28,22.03,26.44,60.27
66341,12,37.9286653,-75.469665,13,-209,0.5,29.61,0,54.3,0,0,31.74,32.48,0.7,-1.74,0.46,18.85,290.28,11.01,19.2,-9999,1020.93,1027.5,-9999,-9999,-9999,-9999,62.1,25.6,-160.4,168.2,8.19,13.27,21.98,26.38,60.36
66342,12,37.9289002,-75.4694759,13,-210,0.5,32.22,0,55.4,0,-0.1,31.43,32,0.6,-1.83,0.44,18.74,290.17,11.03,19.2,-9999,1020.96,1027.5,-9999,-9999,-9999,-9999,62.1,26,-160.4,168.7,8.2,13.29,21.84,26.17,60.84
66343,12,37.9291563,-75.4692743,13,-206,1.2,34.81,0,60.9,0,0.1,31.73,32.13,0.4,-1.95,0.44,18.72,290.15,11.12,19.25,-9999,1020.82,1027.4,-9999,-9999,-9999,-9999,62.1,26,-160.4,168.5,8.25,13.37,21.8,26.13,61.3
66344,12,37.9294313,-75.4690554,13,-221,0.8,37.33,0,65.9,0,0.2,31.53,32.15,0.6,-1.97,0.54,18.71,290.1,11,19.3,-9999,1021.37,1027.6,-9999,-9999,-9999,-9999,62.1,25.8,-160.4,168.5,8.18,13.26,21.79,26.12,60.84
66345,12,37.9297258,-75.4688222,13,-210,0.9,39.83,0,71.1,0,0.1,31.78,32.26,0.5,-2.04,0.36,18.6,290.03,10.9,19.3,-9999,1020.96,1027.7,-9999,-9999,-9999,-9999,62.1,25.8,-160.4,168.5,8.13,13.17,21.64,25.91,60.85
66346,12,37.9300346,-75.4685741,13,-217,0.5,42.22,72.5,74.7,0,0.2,31.78,32.49,0.7,-2.18,0.48,18.66,290.07,10.84,19.4,-9999,1021.22,1027.4,5,217.9,3.1,3.9,62.1,25.7,-160.4,168.3,8.09,13.12,21.73,26.02,60.38
66347,12,37.9303687,-75.4683071,13,-216,0.8,44.64,76.44,83.6,0,0.1,31.27,32.11,0.8,-2.37,0.52,18.58,289.98,10.81,19.45,-9999,1021.18,1027.6,5.4,218.3,3.3,4.2,62.1,25.7,-160.3,168.7,8.08,13.09,21.61,25.86,60.58
66348,12,37.9307188,-75.4680304,14,-232,0.9,47.01,82.81,81,0,0,31.74,32.26,0.5,-2.51,0.52,18.58,289.94,10.86,19.55,-9999,1021.77,1027.7,4.4,217.3,2.7,3.5,62.1,25.4,-160.3,168.7,8.1,13.14,21.61,25.87,60.78
