Time_Start,Day_Of_Year,Latitude,Longitude,GPS_Altitude,Pressure_Altitude,Ground_Speed,True_Air_Speed,Mach_Number,Vertical_Speed,True_Heading,Track_Angle,Drift_Angle,Pitch_Angle,Roll_Angle,Static_Air_Temp,Potential_Temp,Total_Air_Temp,Static_Pressure,Cabin_Pressure,Wind_Speed,Wind_Direction,Solar_Zenith_Angle,Aircraft_Sun_Elevation,Sun_Azimuth,Aircraft_Sun_Azimuth
40140,32,32.009511,-81.1288822,7,-35,0.1,45.87,0.069,0,273.3,273.3,0,4.71,0.16,19.2,291.1,19.4,1014.6,1009.4,23.5,273.3,105.2,-10.4,101,-172.4
40141,32,32.009511,-81.1288822,7,-35,0.1,46.07,0.069,0,273.32,273.3,0,4.72,0.13,23,294.9,23.3,1014.6,1009.9,23.6,273.3,105.2,-10.3,101,-172.4
40142,32,32.0095113,-81.1288785,6.9,-35,0.8,46.26,0.069,0,273.38,273.4,0,4.81,0.16,24.7,296.6,25,1014.6,1014.1,23,273.4,105.2,-10.3,101,-172.4
40143,32,32.0095119,-81.1288636,6.9,-35,2.3,46.46,0.069,0,273.41,273.4,0,4.98,0.19,25.8,297.7,26.1,1014.6,1011.4,21.6,273.4,105.2,-10.1,101,-172.5
40144,32,32.0095136,-81.1288268,6.9,-35,5.1,46.65,0.069,0,273.6,273.6,0,5.33,0.2,27.3,299.2,27.6,1014.5,1013.6,18.9,273.6,105.2,-9.7,101,-172.7
40145,32,32.0095172,-81.1287521,6.9,-35,9.5,20.8,0.069,0,273.78,273.8,0,5.28,0.25,26,297.9,26.3,1014.5,1016,1.2,273.6,105.2,-9.8,101,-172.8
40146,32,32.0095229,-81.1289694,7,-35,14.6,30.91,0.046,0,273.66,273.7,0,4.96,0.16,22.8,294.7,22.9,1014.5,1019,1.3,273.2,105.2,-10.1,101,-172.7
40147,32,32.0095303,-81.1291327,7.1,-35,19.7,40.43,0.06,0,273.14,273.1,0,4.99,-0.83,19.3,291.2,19.5,1014.5,1018.3,1.1,273.9,105.2,-9.9,101,-171.9
40148,32,32.009538,-81.1292411,7.2,-35,25,51.9,0.078,0.1,273.11,273.1,0,4.99,-1.58,15.6,287.6,16,1014.6,1016.2,1.7,273.3,105.2,-9.8,101,-171.7
40149,32,32.0095469,-81.1296368,7.3,-37,30.3,61.43,0.092,0,273.27,272.1,-0.9,4.9,-1.84,12.9,284.9,13.4,1014.6,1015.5,1.4,298.6,105.2,-9.9,101,-171.8
40150,32,32.0095577,-81.1299768,7.4,-40,35.5,70.95,0.108,0.1,273.3,272.1,-1,4.88,-1.81,11,283,11.6,1014.7,1016.6,1.3,309.7,105.2,-9.9,101,-171.8
40151,32,32.0095694,-81.1302611,7.6,-45,40.8,80.67,0.123,0.1,273.05,271.8,-1,4.83,-2.11,9.4,281.4,10.3,1014.9,1016.2,1.1,324.5,105.2,-9.9,101,-171.5
40152,32,32.0095804,-81.1308337,7.8,-47,45.8,90.97,0.139,0.3,272.86,271.4,-1.2,7.09,-2.16,8.9,280.9,10,1015,1017.1,1.5,321.8,105.2,-7.6,101,-171.3
40153,32,32.0095889,-81.1313537,8.1,-42,50.7,99.33,0.152,0.9,272.74,270.9,-1.6,8.05,-1.92,7.9,279.9,9.2,1014.8,1017.2,1.7,348.1,105.2,-6.7,101,-171.3
