Time_Start,Day_Of_Year,Latitude,Longitude,GPS_Altitude,Pressure_Altitude,Ground_Speed,True_Air_Speed,Mach_Number,Vertical_Speed,True_Heading,Track_Angle,Drift_Angle,Pitch_Angle,Roll_Angle,Static_Air_Temp,Potential_Temp,Total_Air_Temp,Static_Pressure,Cabin_Pressure,Wind_Speed,Wind_Direction,Solar_Zenith_Angle,Aircraft_Sun_Elevation,Sun_Azimuth,Aircraft_Sun_Azimuth
62941,15,34.6328363,-118.0745999,761.5,2345,0.1,47.43,0.072,0,265.12,265.1,0,4.44,0.68,13.3,292.4,13.6,930.3,927.4,24.3,265.1,66.7,25.4,140.8,-122.2
62942,15,34.6328367,-118.0745993,761.5,2345,0.1,47.43,0.072,0,265.13,265.1,0,4.47,0.71,13.2,292.3,13.5,930.3,927.9,24.3,265.1,66.6,25.3,140.8,-122.2
62943,15,34.6328368,-118.0745955,761.5,2345,0.7,47.62,0.072,0,265.15,265.1,0,4.5,0.62,14.3,293.5,14.6,930.3,929.6,23.8,265.2,66.6,25.4,140.8,-122.2
62944,15,34.6328361,-118.0745813,761.5,2345,2.1,47.82,0.072,0,265.06,265.1,0,4.5,0.57,17.9,297.1,18.2,930.3,928.1,22.5,265.1,66.6,25.5,140.8,-122.1
62945,15,34.6328338,-118.074547,761.5,2347,4.6,48.01,0.072,0,265.18,265.2,0,4.67,0.55,19.4,298.7,19.7,930.2,927.6,20.1,265.2,66.6,25.6,140.8,-122.2
62946,15,34.6328289,-118.074821,761.5,2347,8.6,48.01,0.072,0.1,265.46,265.5,0,4.69,0.4,19.5,298.8,19.8,930.2,930.8,16.1,265.4,66.6,25.8,140.8,-122.5
62947,15,34.6328207,-118.0750462,761.5,2347,13.4,24.88,0.037,0.1,265.85,265.9,0,4.8,0.42,18.2,297.4,18.3,930.2,933.4,0.6,87,66.6,25.8,140.9,-122.8
62948,15,34.6328092,-118.0748762,761.5,2347,18.3,33.24,0.05,0.1,266.2,266.2,0,4.66,0.41,16.1,295.3,16.3,930.2,932.2,1.2,86.2,66.6,25.8,140.9,-123.2
62949,15,34.6327957,-118.075339,761.6,2347,23.1,41.79,0.063,0.1,267.01,267,0,4.69,0.27,13.7,292.8,14,930.2,930.8,1.6,86.9,66.6,26,140.9,-124.1
62950,15,34.6327814,-118.0754045,761.6,2345,28.1,53.65,0.082,0.1,266.87,266.5,-0.3,4.76,0.14,11.4,290.5,11.8,930.3,930.3,0.5,66.9,66.6,26.1,140.9,-123.9
