Time_Start,Day_Of_Year,Latitude,Longitude,GPS_Altitude,Pressure_Altitude,Ground_Speed,True_Air_Speed,Mach_Number,Vertical_Speed,True_Heading,Track_Angle,Drift_Angle,Pitch_Angle,Roll_Angle,Static_Air_Temp,Potential_Temp,Total_Air_Temp,Static_Pressure,Cabin_Pressure,Wind_Speed,Wind_Direction,Solar_Zenith_Angle,Aircraft_Sun_Elevation,Sun_Azimuth,Aircraft_Sun_Azimuth
59499,54,32.0104706,-81.1607749,7,-342,0.1,45.68,0.069,0,93.61,93.6,0,4.47,0.05,19.3,290.3,19.5,1025.9,1018.8,23.4,93.6,44.9,43.1,156.1,59
59500,54,32.0104729,-81.1607748,7,-342,0.1,45.68,0.069,0,93.61,93.6,0,4.46,0.05,19.8,290.8,20,1025.9,1018,23.4,93.6,44.9,43.1,156.1,59
59501,54,32.0104724,-81.1607754,7,-342,0.3,45.68,0.069,0,93.61,93.6,0,4.49,0.04,19.7,290.7,20,1025.9,1017.8,23.2,93.6,44.9,43.1,156.1,59
59502,54,32.0104718,-81.1607834,7,-342,1.4,45.68,0.069,0,93.58,93.6,0,4.5,0.01,19.6,290.6,19.9,1025.9,1023.2,22.1,93.6,44.9,43,156.1,59.1
59503,54,32.0104703,-81.1608093,7,-342,3.7,45.68,0.069,0,93.57,93.6,0,4.52,0,19.3,290.3,19.6,1025.9,1029.2,19.8,93.6,44.9,43,156.1,59.1
59504,54,32.0104675,-81.160523,7,-342,7.3,45.68,0.069,0,93.7,93.7,0,4.57,0.02,18.8,289.8,19.1,1025.8,1031,16.2,93.7,44.9,43,156.1,58.9
59505,54,32.0104624,-81.1606255,7,-340,12,22.35,0.031,0,93.61,93.6,0,4.53,0.01,18.3,289.3,18.4,1025.8,1029.4,0.5,273.4,44.9,43,156.1,59
59506,54,32.0104558,-81.160435,7,-340,16.8,31.3,0.047,0,92.99,93,0,4.62,0.12,17.2,288.2,17.4,1025.8,1027.1,0.7,273.2,44.9,43.1,156.1,59.5
59507,54,32.0104481,-81.160296,6.9,-342,21.7,38.68,0.058,0,92.92,92.9,0,4.64,0.29,16.6,287.6,16.8,1025.8,1026.1,1.8,272.7,44.9,43.3,156.1,59.5
59508,54,32.0104391,-81.159866,7,-342,26.7,48.79,0.072,0,93.07,92.4,-0.6,4.54,0.01,16.9,287.9,17.2,1025.9,1026.3,1.6,262,44.9,43.1,156.1,59.6
59509,54,32.0104283,-81.1594879,7,-345,31.6,59.48,0.089,0,92.97,92.3,-0.7,4.62,-1.17,16.4,287.4,16.9,1025.9,1026.2,1.1,252.6,44.9,42,156.1,60.2
59510,54,32.0104155,-81.1591619,7,-347,36.5,69.59,0.105,0,93.04,92.4,-0.7,4.44,0.38,16.2,287.2,16.9,1026.1,1026,0.8,242.7,44.9,43.5,156.1,59.5
59511,54,32.0104016,-81.1588875,7,-350,41.3,78.92,0.117,0,92.15,92.1,-0.1,4.38,-0.9,15.9,286.9,16.7,1026.2,1027.9,0.7,269.2,44.9,42.4,156.1,61.1
